"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","0","63","1","0.000000","0","0"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","0","104","1","0.000000","0","0"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","0","63","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","9","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","28","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","14","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","9","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","43","1","0.000000","0","0"
"/Game/VFX/M_SecondaryAerialTrail.M_SecondaryAerialTrail","0","0","48","1","0.000000","0","0"
"/Game/VFX/M_AerialTrail.M_AerialTrail","0","0","48","1","0.000000","0","0"
"/Game/Textures/M_Mouse4.M_Mouse4","0","0","14","1","0.000000","0","0"
"/Game/Meshes/HeliRedo/WorldGridMaterial.WorldGridMaterial","0","0","14","1","0.000000","0","0"
"/Game/Meshes/Standardmaterial.Standardmaterial","0","0","14","1","0.000000","0","0"
"/Game/Meshes/Silver_material.Silver_material","0","0","14","1","0.000000","0","0"
"/Game/Meshes/Mouse_Basemesh_default.Mouse_Basemesh_default","0","0","23","1","0.000000","0","0"
"/Game/Meshes/09_-_Default_ncl1_1.09_-_Default_ncl1_1","0","0","14","1","0.000000","0","0"
"/Game/Meshes/09_-_Default.09_-_Default","0","0","14","1","0.000000","0","0"
"/Game/Meshes/03_-_Default.03_-_Default","0","0","14","1","0.000000","0","0"
"/Game/Meshes/01_-_Default.01_-_Default","0","0","14","1","0.000000","0","0"
"/Game/Materials/testDONOTUSE.testDONOTUSE","0","0","14","1","0.000000","0","0"
"/Game/Materials/M_Test_CritterRand.M_Test_CritterRand","0","0","14","1","0.000000","0","0"
"/Game/Materials/M_Mouse6.M_Mouse6","0","0","14","1","0.000000","0","0"
"/Game/Materials/M_Mouse5.M_Mouse5","0","0","14","1","0.000000","0","0"
"/Game/Materials/M_Mouse3.M_Mouse3","0","0","14","1","0.000000","0","0"
"/Game/Materials/M_Mouse2.M_Mouse2","0","0","23","1","0.000000","0","0"
"/Game/Materials/M_Mouse.M_Mouse","0","0","23","1","0.000000","0","0"
"/Game/Materials/M_Golden.M_Golden","0","0","65","1","0.000000","0","0"
"/Game/Materials/Mouse_Basemesh_default.Mouse_Basemesh_default","0","0","14","1","0.000000","0","0"
"/Game/Materials/Material.Material","0","0","23","1","0.000000","0","0"
"/Game/Materials/Light.Light","0","0","23","1","0.000000","0","0"
"/Game/Materials/Floor_Placeholder.Floor_Placeholder","0","0","23","1","0.000000","0","0"
"/Game/Materials/Debug.Debug","0","0","24","1","0.000000","0","0"
"/Game/Materials/09_-_Default.09_-_Default","0","0","23","1","0.000000","0","0"
"/Game/Materials/01_-_Default.01_-_Default","0","0","23","1","0.000000","0","0"
"/Game/Characters/WeasleSkele/Weasle_Max_ContainsBaseSkele_/Material_002.Material_002","0","0","28","1","0.000000","0","0"
"/Game/Characters/WeasleSkele/Weasle_Max_ContainsBaseSkele_/Material_001.Material_001","0","0","28","1","0.000000","0","0"
"/Game/Characters/M_AnimZoo_2.M_AnimZoo_2","0","0","14","1","0.000000","0","0"
"/Game/Characters/M_AnimZoo.M_AnimZoo","0","0","14","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","84","1","0.000000","0","0"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","0","4","1","0.000000","0","0"
"/Niagara/DefaultAssets/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","66","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","0","66","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","0","66","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","0","66","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","28","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","0","13","1","0.000000","0","0"
"/ControlRig/M_Manip.M_Manip","0","0","13","1","0.000000","0","0"
"/Game/M_ShieldOverlay.M_ShieldOverlay","0","24","3","1","29.909676","0","57"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","75","2","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","0","6","1","0.000000","0","0"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","0","104","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","56","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","101","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","0","167","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","1288","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","31","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","66","6","0.000000","0","9"
"/Game/VFX/Particle_JumpPad.Particle_JumpPad","0","0","192","1","0.000000","0","0"
"/Game/UI/UITextures/System/M_TGKlogo.M_TGKlogo","0","0","16","1","0.000000","0","0"
"/Game/Materials/Signposts/M_Signpost_75.M_Signpost_75","0","0","23","1","0.000000","0","0"
"/Game/Materials/Signposts/M_Signpost_50.M_Signpost_50","0","0","23","1","0.000000","0","0"
"/Game/Materials/Signposts/M_Signpost_25.M_Signpost_25","0","0","23","1","0.000000","0","0"
"/Game/Materials/Signposts/M_Signpost_100.M_Signpost_100","0","0","23","1","0.000000","0","0"
"/Game/Materials/Glowband.Glowband","0","0","23","1","0.000000","0","0"
"/Game/Textures/WoodPlanks_BaseColor_Mat.WoodPlanks_BaseColor_Mat","0","0","23","1","0.000000","0","0"
"/Game/Materials/VCR_DefaultMaterial_BaseColor_sRGB_Mat.VCR_DefaultMaterial_BaseColor_sRGB_Mat","0","0","23","1","0.000000","0","0"
